feature_id	gene_symbol	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction
ENSG00000000003	TSPAN6	TSPAN6	-0.0687742408707341	0.513782012429479	0.879980379694403	FALSE	FALSE	down
ENSG00000000419	DPM1	DPM1	0.0432920745774747	0.666742027177894	0.937989471882292	FALSE	FALSE	up
ENSG00000000457	SCYL3	SCYL3	-0.184071701179608	0.2213436434746	0.678473182554735	FALSE	FALSE	down
ENSG00000000460	FIRRM	FIRRM	0.00609929408555738	0.96415790181678	0.995120032272118	FALSE	FALSE	up
ENSG00000000971	CFH	CFH	-0.403790846906617	0.102203795119865	0.484411200910031	FALSE	FALSE	down
ENSG00000001036	FUCA2	FUCA2	0.0375175315214676	0.666818293878754	0.937989471882292	FALSE	FALSE	up
ENSG00000001084	GCLC	GCLC	0.0914695568463875	0.369216451118918	0.808342261401843	FALSE	FALSE	up
ENSG00000001167	NFYA	NFYA	0.016923695549764	0.839812305434202	0.976235535997253	FALSE	FALSE	up
ENSG00000001460	STPG1	STPG1	-0.473700279833844	0.17682074492685	0.622918735035121	FALSE	FALSE	down
ENSG00000001461	NIPAL3	NIPAL3	-0.516211743934284	0.00126972867083144	0.0261273243235844	FALSE	FALSE	down
ENSG00000001497	LAS1L	LAS1L	-0.15231278051866	0.125077529933664	0.531184161915297	FALSE	FALSE	down
ENSG00000001561	ENPP4	ENPP4	0.717889032235298	0.075307878424011	0.417440387798918	FALSE	FALSE	up
ENSG00000001617	SEMA3F	SEMA3F	-0.13026628206393	0.603636831736031	0.914898370114838	FALSE	FALSE	down
ENSG00000001629	ANKIB1	ANKIB1	0.0113643745119123	0.886539920403872	0.984144750080353	FALSE	FALSE	up
ENSG00000001630	CYP51A1	CYP51A1	0.175536834898258	0.12286088629509	0.528009996257528	FALSE	FALSE	up
ENSG00000001631	KRIT1	KRIT1	0.117516214829089	0.48680315334556	0.866242057983351	FALSE	FALSE	up
ENSG00000002016	RAD52	RAD52	-0.192620660797061	0.212480979421673	0.669467287172454	FALSE	FALSE	down
ENSG00000002330	BAD	BAD	0.0544953384707533	0.688396543389854	0.942311242477263	FALSE	FALSE	up
ENSG00000002549	LAP3	LAP3	-0.6569902281768	0.00515722610217172	0.078297084907619	TRUE	FALSE	down
ENSG00000002746	HECW1	HECW1	-0.130187141097877	0.464444044718553	0.857871422355163	FALSE	FALSE	down
ENSG00000002834	LASP1	LASP1	0.0946836359814186	0.35324071166704	0.798123523474723	FALSE	FALSE	up
ENSG00000002919	SNX11	SNX11	-0.209003498368314	0.144230549748182	0.564711565694685	FALSE	FALSE	down
ENSG00000003056	M6PR	M6PR	0.116592867906226	0.128193625060274	0.535752242162128	FALSE	FALSE	up
ENSG00000003137	CYP26B1	CYP26B1	0.0805486949846038	0.852204500204703	0.978927917154563	FALSE	FALSE	up
ENSG00000003249	DBNDD1	DBNDD1	0.330711914236187	0.326252684537039	0.779128938074003	FALSE	FALSE	up
ENSG00000003393	ALS2	ALS2	0.187860225025088	0.0349327316674476	0.27531629294485	FALSE	FALSE	up
ENSG00000003400	CASP10	CASP10	0.115471061822502	0.679715854136704	0.940487192145992	FALSE	FALSE	up
ENSG00000003402	CFLAR	CFLAR	-0.121751341991567	0.119071121992396	0.52153399702774	FALSE	FALSE	down
ENSG00000003436	TFPI	TFPI	0.0820215641858263	0.368551411428932	0.808342261401843	FALSE	FALSE	up
ENSG00000003509	NDUFAF7	NDUFAF7	-0.187074152504779	0.140507519962524	0.56078948368979	FALSE	FALSE	down
ENSG00000003756	RBM5	RBM5	0.0577451548717845	0.513611269704638	0.879892285348802	FALSE	FALSE	up
ENSG00000003989	SLC7A2	SLC7A2	-0.27080704681957	0.237251326229417	0.693486138313718	FALSE	FALSE	down
ENSG00000004059	ARF5	ARF5	-0.115566471892677	0.342762705281038	0.790639306848261	FALSE	FALSE	down
ENSG00000004139	SARM1	SARM1	-0.185005337648775	0.154204805421098	0.581668024988089	FALSE	FALSE	down
ENSG00000004142	POLDIP2	POLDIP2	-0.0557767442958681	0.614560609652971	0.917226309837798	FALSE	FALSE	down
ENSG00000004399	PLXND1	PLXND1	-0.0860911042538684	0.465318456744599	0.857871422355163	FALSE	FALSE	down
ENSG00000004455	AK2	AK2	0.0304800613990276	0.744642867382773	0.956021160372453	FALSE	FALSE	up
ENSG00000004478	FKBP4	FKBP4	0.11422330636318	0.524625737313608	0.883774656833813	FALSE	FALSE	up
ENSG00000004487	KDM1A	KDM1A	-0.046130009085072	0.570445041226653	0.902161926761675	FALSE	FALSE	down
ENSG00000004534	RBM6	RBM6	-0.0031029425379116	0.967649787401304	0.99549392780162	FALSE	FALSE	down
ENSG00000004660	CAMKK1	CAMKK1	-0.17965831016586	0.19027280289741	0.643255195899013	FALSE	FALSE	down
ENSG00000004700	RECQL	RECQL	0.0595514232557522	0.483224417114407	0.865422865614886	FALSE	FALSE	up
ENSG00000004766	VPS50	VPS50	-0.0625232278202785	0.626522040453767	0.922523487697117	FALSE	FALSE	down
ENSG00000004776	HSPB6	HSPB6	-0.178173597312881	0.283612522691398	0.745081042458673	FALSE	FALSE	down
ENSG00000004777	ARHGAP33	ARHGAP33	-0.206898631473916	0.305272720711938	0.76171414446873	FALSE	FALSE	down
ENSG00000004779	NDUFAB1	NDUFAB1	-0.0126931552945717	0.936995366844627	0.990212667503058	FALSE	FALSE	down
ENSG00000004799	PDK4	PDK4	0.319859359865915	0.252599871138376	0.71310704084145	FALSE	FALSE	up
ENSG00000004864	SLC25A13	SLC25A13	0.0678812581388822	0.492962711163114	0.868064259099049	FALSE	FALSE	up
ENSG00000004866	ST7;ST7-OT3	ST7;ST7-OT3	0.210146119684915	0.149455833348298	0.574574648205679	FALSE	FALSE	up
ENSG00000004897	CDC27	CDC27	-0.0568790827958848	0.483921089795323	0.865422865614886	FALSE	FALSE	down
ENSG00000004961	HCCS	HCCS	0.0351937836176253	0.776692656377603	0.963802203037107	FALSE	FALSE	up
ENSG00000004975	DVL2	DVL2	0.112574616200473	0.215201453937277	0.671929138596938	FALSE	FALSE	up
